TIGR00001;rpmI_bact: ribosomal protein L35
TIGR02396;diverge_rpsU: rpsU-divergently transcribed protein
TIGR02397;dnaX_nterm: DNA polymerase III, subunit gamma and tau
TIGR02398;gluc_glyc_Psyn: glucosylglycerol-phosphate synthase
TIGR02399;salt_tol_Pase: glucosylglycerol 3-phosphatase
TIGR02400;trehalose_OtsA: alpha,alpha-trehalose-phosphate synthase (UDP-forming)
TIGR02401;trehalose_TreY: malto-oligosyltrehalose synthase
TIGR02402;trehalose_TreZ: malto-oligosyltrehalose trehalohydrolase
TIGR02403;trehalose_treC: alpha,alpha-phosphotrehalase
TIGR02404;trehalos_R_Bsub: trehalose operon repressor
TIGR02405;trehalos_R_Ecol: trehalose operon repressor
TIGR02406;ectoine_EctA: diaminobutyrate acetyltransferase
TIGR02407;ectoine_ectB: diaminobutyrate--2-oxoglutarate aminotransferase
TIGR02408;ectoine_ThpD: ectoine hydroxylase
TIGR02409;carnitine_bodg: gamma-butyrobetaine hydroxylase
TIGR02410;carnitine_TMLD: trimethyllysine dioxygenase
TIGR02411;leuko_A4_hydro: leukotriene A-4 hydrolase/aminopeptidase
TIGR02412;pepN_strep_liv: aminopeptidase N
TIGR02413;Bac_small_yrzI: Bacillus tandem small hypothetical protein
TIGR02414;pepN_proteo: aminopeptidase N
TIGR02415;23BDH: acetoin reductases
TIGR02416;CO_dehy_Mo_lg: carbon-monoxide dehydrogenase, large subunit
TIGR02417;fruct_sucro_rep: D-fructose-responsive transcription factor
TIGR02418;acolac_catab: acetolactate synthase, catabolic
TIGR02419;C4_traR_proteo: phage/conjugal plasmid C-4 type zinc finger protein, TraR family
TIGR02420;dksA: RNA polymerase-binding protein DksA
TIGR02421;QEGLA: conserved hypothetical protein
TIGR02422;protocat_beta: protocatechuate 3,4-dioxygenase, beta subunit
TIGR02423;protocat_alph: protocatechuate 3,4-dioxygenase, alpha subunit
TIGR02424;TF_pcaQ: pca operon transcription factor PcaQ
TIGR02425;decarb_PcaC: 4-carboxymuconolactone decarboxylase
TIGR02426;protocat_pcaB: 3-carboxy-cis,cis-muconate cycloisomerase
TIGR02427;protocat_pcaD: 3-oxoadipate enol-lactonase
TIGR02428;pcaJ_scoB_fam: 3-oxoacid CoA-transferase, B subunit
TIGR02429;pcaI_scoA_fam: 3-oxoacid CoA-transferase, A subunit
TIGR02430;pcaF: 3-oxoadipyl-CoA thiolase
TIGR02431;pcaR_pcaU: beta-ketoadipate pathway transcriptional regulators, PcaR/PcaU/PobR family
TIGR02432;lysidine_TilS_N: tRNA(Ile)-lysidine synthetase
TIGR02433;lysidine_TilS_C: tRNA(Ile)-lysidine synthetase, C-terminal domain
TIGR02434;CobF: precorrin-6A synthase (deacetylating)
TIGR02435;CobG: precorrin-3B synthase
TIGR02436;TIGR02436: four helix bundle protein
TIGR02437;FadB: fatty oxidation complex, alpha subunit FadB
TIGR02438;catachol_actin: catechol 1,2-dioxygenase
TIGR02439;catechol_proteo: catechol 1,2-dioxygenase
TIGR02440;FadJ: fatty oxidation complex, alpha subunit FadJ
TIGR02441;fa_ox_alpha_mit: fatty acid oxidation complex, alpha subunit, mitochondrial
TIGR02442;Cob-chelat-sub: cobaltochelatase subunit
TIGR02443;TIGR02443: conserved hypothetical protein
TIGR02444;TIGR02444: TIGR02444 family protein
TIGR02445;fadA: acetyl-CoA C-acyltransferase FadA
TIGR02446;FadI: acetyl-CoA C-acyltransferase FadI
TIGR02447;yiiD_Cterm: putative thioesterase domain
TIGR02448;TIGR02448: conserverd hypothetical protein
TIGR02449;TIGR02449: TIGR02449 family protein
TIGR02450;TIGR02450: tryptophan-rich conserved hypothetical protein
TIGR02451;anti_sig_ChrR: anti-sigma factor, putative, ChrR family
TIGR02452;TIGR02452: TIGR02452 family protein
TIGR02453;TIGR02453: TIGR02453 family protein
TIGR02454;CbiQ_TIGR: cobalt ABC transporter, permease protein CbiQ
TIGR02455;TreS_stutzeri: trehalose synthase
TIGR02456;treS_nterm: trehalose synthase
TIGR02457;TreS_Cterm: putative maltokinase
TIGR02458;CbtA: cobalt transporter subunit CbtA (proposed)
TIGR02459;CbtB: cobalt transporter subunit CbtB (proposed)
TIGR02460;osmo_MPGsynth: mannosyl-3-phosphoglycerate synthase
TIGR02461;osmo_MPG_phos: mannosyl-3-phosphoglycerate phosphatase
TIGR02462;pyranose_ox: pyranose oxidase
TIGR02463;MPGP_rel: mannosyl-3-phosphoglycerate phosphatase homolog
TIGR02464;ribofla_fusion: conserved hypothetical protein
TIGR02465;chlorocat_1_2: chlorocatechol 1,2-dioxygenase
TIGR02466;TIGR02466: conserved hypothetical protein
TIGR02467;CbiE: precorrin-6y C5,15-methyltransferase (decarboxylating), CbiE subunit
TIGR02468;sucrsPsyn_pln: sucrose phosphate synthase
TIGR02469;CbiT: precorrin-6Y C5,15-methyltransferase (decarboxylating), CbiT subunit
TIGR02470;sucr_synth: sucrose synthase
TIGR02471;sucr_syn_bact_C: sucrose phosphate synthase, sucrose phosphatase-like domain
TIGR02472;sucr_P_syn_N: sucrose-phosphate synthase, putative, glycosyltransferase domain
TIGR02473;flagell_FliJ: flagellar export protein FliJ
TIGR02474;pec_lyase: pectate lyase
TIGR02475;CobW: cobalamin biosynthesis protein CobW
TIGR02476;BluB: 5,6-dimethylbenzimidazole synthase
TIGR02477;PFKA_PPi: diphosphate--fructose-6-phosphate 1-phosphotransferase
TIGR02478;6PF1K_euk: 6-phosphofructokinase
TIGR02479;FliA_WhiG: RNA polymerase sigma factor, FliA/WhiG family
TIGR02480;fliN: flagellar motor switch protein FliN
TIGR02481;hemeryth_dom: hemerythrin-like metal-binding domain
TIGR02482;PFKA_ATP: 6-phosphofructokinase
TIGR02483;PFK_mixed: phosphofructokinase
TIGR02484;CitB: CitB domain protein
TIGR02485;CobZ_N-term: precorrin 3B synthase CobZ
TIGR02486;RDH: reductive dehalogenase
TIGR02487;NrdD: anaerobic ribonucleoside-triphosphate reductase
TIGR02488;flgG_G_neg: flagellar basal-body rod protein FlgG
TIGR02489;flgE_epsilon: flagellar hook protein FlgE
TIGR02490;flgF: flagellar basal-body rod protein FlgF
TIGR02491;NrdG: anaerobic ribonucleoside-triphosphate reductase activating protein
TIGR02492;flgK_ends: flagellar hook-associated protein FlgK
TIGR02493;PFLA: pyruvate formate-lyase 1-activating enzyme
TIGR02494;PFLE_PFLC: glycyl-radical enzyme activating protein family
TIGR02495;NrdG2: anaerobic ribonucleoside-triphosphate reductase activating protein
TIGR02497;yscI_hrpB_dom: type III secretion apparatus protein, YscI/HrpB, C-terminal domain
TIGR02498;type_III_ssaH: type III secretion system protein, SsaH family
TIGR02499;HrpE_YscL_not: type III secretion apparatus protein, HrpE/YscL family
TIGR02500;type_III_yscD: type III secretion apparatus protein, YscD/HrpQ family
TIGR02501;type_III_yscE: type III secretion system protein, YseE family
TIGR02502;type_III_YscX: type III secretion protein, YscX family
TIGR02503;type_III_SycN: type III secretion chaperone SycN
TIGR02504;NrdJ_Z: ribonucleoside-diphosphate reductase, adenosylcobalamin-dependent
TIGR02505;RTPR: ribonucleoside-triphosphate reductase, adenosylcobalamin-dependent
TIGR02506;NrdE_NrdA: ribonucleoside-diphosphate reductase, alpha subunit
TIGR02507;MtrF: tetrahydromethanopterin S-methyltransferase, F subunit
TIGR02508;type_III_yscG: type III secretion protein, YscG family
TIGR02509;type_III_yopR: type III secretion effector, YopR family
TIGR02510;NrdE-prime: ribonucleoside-diphosphate reductase, alpha chain
TIGR02511;type_III_tyeA: type III secretion effector delivery regulator, TyeA family
TIGR02512;FeFe_hydrog_A: [FeFe] hydrogenase, group A
TIGR02513;type_III_yscB: type III secretion system chaperone, YscB family
TIGR02514;type_III_yscP: type III secretion system needle length determinant
TIGR02515;IV_pilus_PilQ: type IV pilus secretin PilQ
TIGR02516;type_III_yscC: type III secretion outer membrane pore, YscC/HrcC family
TIGR02517;type_II_gspD: type II secretion system protein D
TIGR02518;EutH_ACDH: acetaldehyde dehydrogenase (acetylating)
TIGR02519;pilus_MshL: pilus (MSHA type) biogenesis protein MshL
TIGR02520;pilus_B_mal_scr: type IVB pilus formation outer membrane protein, R64 PilN family
TIGR02521;type_IV_pilW: type IV pilus biogenesis/stability protein PilW
TIGR02522;pilus_cpaD: pilus (Caulobacter type) biogenesis lipoprotein CpaD
TIGR02523;type_IV_pilV: type IV pilus modification protein PilV
TIGR02524;dot_icm_DotB: Dot/Icm secretion system ATPase DotB
TIGR02525;plasmid_TraJ: plasmid transfer ATPase TraJ
TIGR02526;eut_PduT: PduT-like ethanolamine utilization protein
TIGR02527;dot_icm_IcmQ: Dot/Icm secretion system protein IcmQ
TIGR02528;EutP: ethanolamine utilization protein, EutP
TIGR02529;EutJ: ethanolamine utilization protein EutJ family protein
TIGR02530;flg_new: flagellar operon protein
TIGR02531;yecD_yerC: TrpR homolog YerC/YecD
TIGR02532;IV_pilin_GFxxxE: prepilin-type N-terminal cleavage/methylation domain
TIGR02533;type_II_gspE: type II secretion system protein E
TIGR02534;mucon_cyclo: muconate and chloromuconate cycloisomerases
TIGR02535;hyp_Hser_kinase: proposed homoserine kinase
TIGR02536;eut_hyp: ethanolamine utilization protein
TIGR02537;arch_flag_Nterm: archaeal flagellin N-terminal-like domain
TIGR02538;type_IV_pilB: type IV-A pilus assembly ATPase PilB
TIGR02539;SepCysS: O-phospho-L-seryl-tRNA:Cys-tRNA synthase
TIGR02540;gpx7: putative glutathione peroxidase Gpx7
TIGR02541;flagell_FlgJ: flagellar rod assembly protein/muramidase FlgJ
TIGR02542;T_forsyth_147: TANFOR domain
TIGR02543;List_Bact_rpt: repeat, TIGR02543 family
TIGR02544;III_secr_YscJ: type III secretion apparatus lipoprotein, YscJ/HrcJ family
TIGR02546;III_secr_ATP: type III secretion apparatus H+-transporting two-sector ATPase
TIGR02547;casA_cse1: CRISPR type I-E/ECOLI-associated protein CasA/Cse1
TIGR02548;casB_cse2: CRISPR type I-E/ECOLI-associated protein CasB/Cse2
TIGR02549;CRISPR_DxTHG: CRISPR-associated DxTHG motif protein
TIGR02550;flagell_flgL: flagellar hook-associated protein 3
TIGR02551;SpaO_YscQ: type III secretion apparatus protein, YscQ/HrcQ family
TIGR02552;LcrH_SycD: type III secretion low calcium response chaperone LcrH/SycD
TIGR02553;SipD_IpaD_SspD: type III effector protein IpaD/SipD/SspD
TIGR02554;PrgH: type III secretion apparatus protein PrgH/EprH
TIGR02555;OrgA_MxiK: type III secretion apparatus protein OrgA/MxiK
TIGR02556;cas_TM1802: CRISPR-associated protein, TM1802 family
TIGR02557;HpaP: type III secretion protein HpaP
TIGR02558;HrpB2: type III secretion protein HrpB2
TIGR02559;HrpB7: type III secretion protein HrpB7
TIGR02560;HrpB4: type III secretion protein HrpB4
TIGR02561;HrpB1_HrpK: type III secretion protein HrpB1/HrpK
TIGR02562;cas3_yersinia: CRISPR-associated helicase Cas3, subtype I-F/YPEST
TIGR02563;cas_Csy4: CRISPR-associated protein Cas6/Csy4, subtype I-F/YPEST
TIGR02564;cas_Csy1: CRISPR type I-F/YPEST-associated protein Csy1
TIGR02565;cas_Csy2: CRISPR type I-F/YPEST-associated protein Csy2
TIGR02566;cas_Csy3: CRISPR type I-F/YPEST-associated protein Csy3
TIGR02567;YscW: type III secretion system chaperone YscW
TIGR02568;LcrE: type III secretion regulator YopN/LcrE/InvE/MxiC
TIGR02569;TIGR02569_actnb: TIGR02569 family protein
TIGR02570;cas_GSU0053: CRISPR-associated protein GSU0053/csb1, Dpsyc system
TIGR02571;ComEB: ComE operon protein 2
TIGR02572;LcrR: type III secretion system regulator LcrR
TIGR02573;LcrG_PcrG: type III secretion protein LcrG
TIGR02574;stabl_TIGR02574: putative addiction module component, TIGR02574 family
TIGR02577;cas_TM1794_Cmr2: CRISPR-associated protein Cas10/Cmr2, subtype III-B
TIGR02578;cas_TM1811_Csm1: CRISPR-associated protein Cas10/Csm1, subtype III-A/MTUBE
TIGR02579;cas_csx3: CRISPR-associated protein, Csx3 family
TIGR02580;cas_RAMP_Cmr4: CRISPR type III-B/RAMP module RAMP protein Cmr4
TIGR02581;cas_cyan_RAMP: CRISPR-associated RAMP protein, SSO1426 family
TIGR02582;cas_TM1809: CRISPR type III-A/MTUBE-associated RAMP protein Csm3
TIGR02583;DevR_archaea: CRISPR-associated protein Cas7/Csa2, subtype I-A/APERN
TIGR02584;cas_NE0113: CRISPR-associated protein, NE0113 family
TIGR02585;cas_Cst2_DevR: CRISPR-associated protein Cas7/Cst2/DevR, subtype I-B/TNEAP
TIGR02586;cas_devS: CRISPR-associated protein Cas5/DevS, subtype MYXAN
TIGR02587;TIGR02587: putative integral membrane protein TIGR02587
TIGR02588;TIGR02588: TIGR02588 family protein
TIGR02589;cas_Csd2: CRISPR-associated protein Cas7/Csd2, subtype I-C/DVULG
TIGR02590;cas_Csh2: CRISPR-associated protein Cas7/Csh2, subtype I-B/HMARI
TIGR02591;cas_Csh1: CRISPR-associated protein Cas8b/Csh1, subtype I-B/HMARI
TIGR02592;cas_Cas5h: CRISPR-associated protein Cas5, subtype I-B/HMARI
TIGR02593;CRISPR_cas5: CRISPR-associated protein Cas5
TIGR02594;TIGR02594: TIGR02594 family protein
TIGR02595;PEP_exosort: PEP-CTERM protein-sorting domain
TIGR02596;TIGR02596: Verru_Chthon cassette protein D
TIGR02597;TIGR02597: TIGR02597 family protein
TIGR02598;TIGR02598: Verru_Chthon cassette protein B
TIGR02599;TIGR02599: Verru_Chthon cassette protein C
TIGR02600;Verru_Chthon_A: Verru_Chthon cassette protein A
TIGR02601;autotrns_rpt: autotransporter-associated beta strand repeat
TIGR02602;8TM_EpsH: exosortase
TIGR02603;CxxCH_TIGR02603: putative heme-binding domain
TIGR02604;Piru_Ver_Nterm: putative membrane-bound dehydrogenase domain
TIGR02605;CxxC_CxxC_SSSS: putative regulatory protein, FmdB family
TIGR02606;antidote_CC2985: putative addiction module antidote protein, CC2985 family
TIGR02607;antidote_HigA: addiction module antidote protein, HigA family
TIGR02608;delta_60_rpt: delta-60 repeat domain
TIGR02609;doc_partner: putative addiction module antidote
TIGR02610;PHA_gran_rgn: putative polyhydroxyalkanoic acid system protein
TIGR02611;TIGR02611: TIGR02611 family protein
TIGR02612;mob_myst_A: mobile mystery protein A
TIGR02613;mob_myst_B: mobile mystery protein B
TIGR02614;ftsW: cell division protein FtsW
TIGR02615;spoVE: stage V sporulation protein E
TIGR02616;tnaC_leader: tryptophanase leader peptide
TIGR02617;tnaA_trp_ase: tryptophanase
TIGR02618;tyr_phenol_ly: tyrosine phenol-lyase
TIGR02619;TIGR02619: putative CRISPR-associated protein, APE2256 family
TIGR02620;cas_VVA1548: putative CRISPR-associated protein, VVA1548 family
TIGR02621;cas3_GSU0051: CRISPR-associated helicase Cas3, subtype Dpsyc
TIGR02622;CDP_4_6_dhtase: CDP-glucose 4,6-dehydratase
TIGR02623;G1P_cyt_trans: glucose-1-phosphate cytidylyltransferase
TIGR02624;rhamnu_1P_ald: rhamnulose-1-phosphate aldolase
TIGR02625;YiiL_rotase: L-rhamnose 1-epimerase
TIGR02627;rhamnulo_kin: rhamnulokinase
TIGR02628;fuculo_kin_coli: L-fuculokinase
TIGR02629;L_rham_iso_rhiz: L-rhamnose catabolism isomerase
TIGR02630;xylose_isom_A: xylose isomerase
TIGR02631;xylA_Arthro: xylose isomerase
TIGR02632;RhaD_aldol-ADH: rhamnulose-1-phosphate aldolase/alcohol dehydrogenase
TIGR02633;xylG: D-xylose ABC transporter, ATP-binding protein
TIGR02634;xylF: D-xylose ABC transporter, D-xylose-binding protein
TIGR02635;RhaI_grampos: L-rhamnose isomerase
TIGR02636;galM_Leloir: galactose mutarotase
TIGR02637;RhaS: rhamnose ABC transporter, rhamnose-binding protein
TIGR02638;lactal_redase: lactaldehyde reductase
TIGR02639;ClpA: ATP-dependent Clp protease ATP-binding subunit ClpA
TIGR02640;gas_vesic_GvpN: gas vesicle protein GvpN
TIGR02641;gvpC_cyan_rpt: gas vesicle protein GvpC repeat
TIGR02642;phage_xxxx: uncharacterized phage protein
TIGR02643;T_phosphoryl: thymidine phosphorylase
TIGR02644;Y_phosphoryl: pyrimidine-nucleoside phosphorylase
TIGR02645;ARCH_P_rylase: putative thymidine phosphorylase
TIGR02646;TIGR02646: TIGR02646 family protein
TIGR02647;DNA: TIGR02647 family protein
TIGR02648;rep_term_tus: DNA replication terminus site-binding protein
TIGR02649;true_RNase_BN: ribonuclease BN
TIGR02650;RNase_Z_T_toga: ribonuclease Z, Thermotoga type
TIGR02651;RNase_Z: ribonuclease Z
TIGR02652;TIGR02652: TIGR02652 family protein
TIGR02653;Lon_rel_chp: conserved hypothetical protein
TIGR02654;circ_KaiB: circadian clock protein KaiB
TIGR02655;circ_KaiC: circadian clock protein KaiC
TIGR02656;cyanin_plasto: plastocyanin
TIGR02657;amicyanin: amicyanin
TIGR02658;TTQ_MADH_Hv: methylamine dehydrogenase (amicyanin) heavy chain
TIGR02659;TTQ_MADH_Lt: methylamine dehydrogenase (amicyanin) light chain
TIGR02660;nifV_homocitr: homocitrate synthase
TIGR02661;MauD: methylamine dehydrogenase accessory protein MauD
TIGR02662;dinitro_DRAG: ADP-ribosyl-[dinitrogen reductase] hydrolase
TIGR02663;nifX: nitrogen fixation protein NifX
TIGR02664;nitr_red_assoc: conserved hypothetical protein
TIGR02665;molyb_mobA: molybdopterin-guanine dinucleotide biosynthesis protein A
TIGR02666;moaA: molybdenum cofactor biosynthesis protein A
TIGR02667;moaB_proteo: molybdenum cofactor biosynthesis protein B
TIGR02668;moaA_archaeal: probable molybdenum cofactor biosynthesis protein A
TIGR02669;SpoIID_LytB: SpoIID/LytB domain
TIGR02670;cas_csx8: CRISPR-associated protein Cas8a1/Csx8, subtype I
TIGR02671;cas_csx9: CRISPR-associated protein Cas8a2/Csx9, subtype I-A/APERN
TIGR02672;cas_csm6: CRISPR type III-A/MTUBE-associated protein Csm6
TIGR02673;FtsE: cell division ATP-binding protein FtsE
TIGR02674;cas_cyan_RAMP_2: CRISPR-associated RAMP protein, Csx10 family
TIGR02675;tape_meas_nterm: tape measure domain
TIGR02677;TIGR02677: TIGR02677 family protein
TIGR02678;TIGR02678: TIGR02678 family protein
TIGR02679;TIGR02679: TIGR02679 family protein
TIGR02680;TIGR02680: TIGR02680 family protein
TIGR02681;phage_pRha: phage regulatory protein, Rha family
TIGR02682;cas_csx11: CRISPR-associated protein, Csx11 family
TIGR02683;upstrm_HI1419: putative addiction module killer protein
TIGR02684;dnstrm_HI1420: probable addiction module antidote protein
TIGR02685;pter_reduc_Leis: pteridine reductase
TIGR02686;relax_trwC: conjugative relaxase domain
TIGR02687;TIGR02687: TIGR02687 family protein
TIGR02688;TIGR02688: TIGR02688 family protein
TIGR02689;ars_reduc_gluta: arsenate reductase, glutathione/glutaredoxin type
TIGR02690;resist_ArsH: arsenical resistance protein ArsH
TIGR02691;arsC_pI258_fam: arsenate reductase (thioredoxin)
TIGR02692;tRNA_CCA_actino: CCA tRNA nucleotidyltransferase
TIGR02693;arsenite_ox_L: arsenite oxidase, large subunit
TIGR02694;arsenite_ox_S: arsenite oxidase, small subunit
TIGR02695;azurin: azurin
TIGR02696;pppGpp_PNP: guanosine pentaphosphate synthetase I/polyribonucleotide nucleotidyltransferase
TIGR02697;WPE_wolbac: Wolbachia palindromic element domain
TIGR02698;CopY_TcrY: copper transport repressor, CopY/TcrY family
TIGR02699;archaeo_AfpA: archaeoflavoprotein AfpA
TIGR02700;flavo_MJ0208: archaeoflavoprotein, MJ0208 family
TIGR02701;shell_carb_anhy: carboxysome shell carbonic anhydrase
TIGR02702;SufR_cyano: iron-sulfur cluster biosynthesis transcriptional regulator SufR
TIGR02703;carboxysome_A: carboxysome peptide A
TIGR02704;carboxysome_B: carboxysome peptide B
TIGR02705;nudix_YtkD: nucleoside triphosphatase YtkD
TIGR02706;P_butyryltrans: phosphate butyryltransferase
TIGR02707;butyr_kinase: butyrate kinase
TIGR02708;L_lactate_ox: L-lactate oxidase
TIGR02709;branched_ptb: branched-chain phosphotransacylase
TIGR02710;TIGR02710: CRISPR-associated protein, TIGR02710 family
TIGR02711;symport_actP: cation/acetate symporter ActP
TIGR02712;urea_carbox: urea carboxylase
TIGR02713;allophanate_hyd: allophanate hydrolase
TIGR02714;amido_AtzD_TrzD: ring-opening amidohydrolases
TIGR02715;amido_AtzE: amidohydrolase, AtzE family
TIGR02716;C20_methyl_CrtF: C-20 methyltransferase BchU
TIGR02717;AcCoA-syn-alpha: acetyl coenzyme A synthetase (ADP forming), alpha domain
TIGR02718;sider_RhtX_FptX: siderophore transporter, RhtX/FptX family
TIGR02719;repress_PhaQ: poly-beta-hydroxybutyrate-responsive repressor
TIGR02720;pyruv_oxi_spxB: pyruvate oxidase
TIGR02721;ycfN_thiK: thiamine kinase
TIGR02722;lp_: uncharacterized lipoprotein
TIGR02723;phenyl_P_alpha: phenylphosphate carboxylase, alpha subunit
TIGR02724;phenyl_P_beta: phenylphosphate carboxylase, beta subunit
TIGR02725;phenyl_P_gamma: phenylphosphate carboxylase, gamma subunit
TIGR02726;phenyl_P_delta: phenylphosphate carboxylase, delta subunit
TIGR02727;MTHFS_bact: 5-formyltetrahydrofolate cyclo-ligase
TIGR02728;spore_gerQ: spore coat protein GerQ
TIGR02729;Obg_CgtA: Obg family GTPase CgtA
TIGR02730;carot_isom: carotene isomerase
TIGR02731;phytoene_desat: phytoene desaturase
TIGR02732;zeta_caro_desat: 9,9'-di-cis-zeta-carotene desaturase
TIGR02733;desat_CrtD: C-3',4' desaturase CrtD
TIGR02734;crtI_fam: phytoene desaturase
TIGR02735;purC_vibrio: phosphoribosylaminoimidazole-succinocarboxamide synthase
TIGR02736;cbb3_Q_epsi: cytochrome c oxidase, cbb3-type, CcoQ subunit
TIGR02737;caa3_CtaG: cytochrome c oxidase assembly factor CtaG
TIGR02738;TrbB: type-F conjugative transfer system pilin assembly thiol-disulfide isomerase TrbB
TIGR02739;TraF: type-F conjugative transfer system pilin assembly protein TraF
TIGR02740;TraF-like: TraF-like protein
TIGR02741;TraQ: type-F conjugative transfer system pilin chaperone TraQ
TIGR02742;TrbC_Ftype: type-F conjugative transfer system pilin assembly protein TrbC
TIGR02743;TraW: type-F conjugative transfer system protein TraW
TIGR02744;TrbI_Ftype: type-F conjugative transfer system protein TrbI
TIGR02745;ccoG_rdxA_fixG: cytochrome c oxidase accessory protein CcoG
TIGR02746;TraC-F-type: type-IV secretion system protein TraC
TIGR02747;TraV: type IV conjugative transfer system protein TraV
TIGR02748;GerC3_HepT: heptaprenyl diphosphate synthase component II
TIGR02749;prenyl_cyano: solanesyl diphosphate synthase
TIGR02750;TraN_Ftype: type-F conjugative transfer system mating-pair stabilization protein TraN
TIGR02751;PEPCase_arch: phosphoenolpyruvate carboxylase
TIGR02752;MenG_heptapren: demethylmenaquinone methyltransferase
TIGR02753;sodN: superoxide dismutase, Ni
TIGR02754;sod_Ni_protease: nickel-type superoxide dismutase maturation protease
TIGR02755;TraX_Ftype: type-F conjugative transfer system pilin acetylase TraX
TIGR02756;TraK_Ftype: type-F conjugative transfer system secretin TraK
TIGR02757;TIGR02757: TIGR02757 family protein
TIGR02758;TraA_TIGR: type IV conjugative transfer system pilin TraA
TIGR02759;TraD_Ftype: type IV conjugative transfer system coupling protein TraD
TIGR02760;TraI_TIGR: conjugative transfer relaxase protein TraI
TIGR02761;TraE_TIGR: type IV conjugative transfer system protein TraE
TIGR02762;TraL_TIGR: type IV conjugative transfer system protein TraL
TIGR02763;chlamy_scaf: scaffolding protein
TIGR02764;spore_ybaN_pdaB: polysaccharide deacetylase family sporulation protein PdaB
TIGR02765;crypto_DASH: cryptochrome, DASH family
TIGR02766;crypt_chrom_pln: cryptochrome, plant family
TIGR02767;TraG-Ti: Ti-type conjugative transfer system protein TraG
TIGR02768;TraA_Ti: Ti-type conjugative transfer relaxase TraA
TIGR02769;nickel_nikE: nickel import ATP-binding protein NikE
TIGR02770;nickel_nikD: nickel import ATP-binding protein NikD
TIGR02771;TraF_Ti: conjugative transfer signal peptidase TraF
TIGR02772;Ku_bact: Ku protein
TIGR02773;addB_Gpos: helicase-exonuclease AddAB, AddB subunit
TIGR02774;rexB_recomb: ATP-dependent nuclease subunit B
TIGR02775;TrbG_Ti: P-type conjugative transfer protein TrbG
TIGR02776;NHEJ_ligase_prk: DNA ligase D
TIGR02777;LigD_PE_dom: DNA ligase D, 3'-phosphoesterase domain
TIGR02778;ligD_pol: DNA polymerase LigD, polymerase domain
TIGR02779;NHEJ_ligase_lig: DNA polymerase LigD, ligase domain
TIGR02780;TrbJ_Ti: P-type conjugative transfer protein TrbJ
TIGR02781;VirB9: P-type conjugative transfer protein VirB9
TIGR02782;TrbB_P: P-type conjugative transfer ATPase TrbB
TIGR02783;TrbL_P: P-type conjugative transfer protein TrbL
TIGR02784;addA_alphas: double-strand break repair helicase AddA
TIGR02785;addA_Gpos: helicase-exonuclease AddAB, AddA subunit
TIGR02786;addB_alphas: double-strand break repair protein AddB
TIGR02787;codY_Gpos: GTP-sensing transcriptional pleiotropic repressor CodY
TIGR02788;VirB11: P-type DNA transfer ATPase VirB11
TIGR02789;nickel_nikB: nickel ABC transporter, permease subunit NikB
TIGR02790;nickel_nikC: nickel ABC transporter, permease subunit NikC
TIGR02791;VirB5: P-type DNA transfer protein VirB5
TIGR02792;PCA_ligA: protocatechuate 4,5-dioxygenase, alpha subunit
TIGR02793;nikR: nickel-responsive transcriptional regulator NikR
TIGR02794;tolA_full: protein TolA
TIGR02795;tol_pal_ybgF: tol-pal system protein YbgF
TIGR02796;tolQ: protein TolQ
TIGR02797;exbB: tonB-system energizer ExbB
TIGR02798;ligK_PcmE: 4-carboxy-4-hydroxy-2-oxoadipate aldolase/oxaloacetate decarboxylase
TIGR02799;thio_ybgC: tol-pal system-associated acyl-CoA thioesterase
TIGR02800;propeller_TolB: Tol-Pal system beta propeller repeat protein TolB
TIGR02801;tolR: protein TolR
TIGR02802;Pal_lipo: peptidoglycan-associated lipoprotein
TIGR02803;ExbD_1: TonB system transport protein ExbD
TIGR02804;ExbD_2: TonB system transport protein ExbD
TIGR02805;exbB2: tonB-system energizer ExbB
TIGR02806;clostrip: clostripain
TIGR02807;cas6_var: CRISPR-associated protein Cas6, subtype MYXAN
TIGR02808;short_TIGR02808: TIGR02808 family protein
TIGR02809;phasin_3: phasin family protein
TIGR02810;agaZ_gatZ: D-tagatose-bisphosphate aldolase, class II, non-catalytic subunit
TIGR02811;formate_TAT: formate dehydrogenase region TAT target
TIGR02812;fadR_gamma: fatty acid metabolism transcriptional regulator FadR
TIGR02813;omega_3_PfaA: polyketide-type polyunsaturated fatty acid synthase PfaA
TIGR02814;pfaD_fam: PfaD family protein
TIGR02815;agaS_fam: putative sugar isomerase, AgaS family
TIGR02816;pfaB_fam: PfaB family protein
TIGR02817;adh_fam_1: zinc-binding alcohol dehydrogenase family protein
TIGR02818;adh_III_F_hyde: S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase
TIGR02819;fdhA_non_GSH: formaldehyde dehydrogenase, glutathione-independent
TIGR02820;formald_GSH: S-(hydroxymethyl)glutathione synthase
TIGR02821;fghA_ester_D: S-formylglutathione hydrolase
TIGR02822;adh_fam_2: zinc-binding alcohol dehydrogenase family protein
TIGR02823;oxido_YhdH: putative quinone oxidoreductase, YhdH/YhfP family
TIGR02824;quinone_pig3: putative NAD(P)H quinone oxidoreductase, PIG3 family
TIGR02825;B4_12hDH: leukotriene B4 12-hydroxydehydrogenase/15-oxo-prostaglandin 13-reductase
TIGR02826;RNR_activ_nrdG3: anaerobic ribonucleoside-triphosphate reductase activating protein
